run,fps,total_frames,width,height
0,1.1.10_kinect,25.0,22910.0,960,540
1,1.1.1_kinect,25.0,22861.0,960,540
2,1.1.2_kinect,25.0,19340.0,960,540
3,1.1.3_kinect,25.0,19910.0,960,540
4,1.1.4_kinect,25.0,18156.0,960,540
5,1.1.5_kinect,25.0,17772.0,960,540
6,1.1.6_kinect,25.0,24713.0,960,540
7,1.1.7_kinect,25.0,18738.0,960,540
8,1.1.8_kinect,25.0,18680.0,960,540
9,1.1.9_kinect,25.0,18629.0,960,540
10,1.2.10_kinect,25.0,17192.0,960,540
11,1.2.1_kinect,25.0,11004.0,960,540
12,1.2.2_kinect,25.0,13734.0,960,540
13,1.2.3_kinect,25.0,14652.0,960,540
14,1.2.4_kinect,25.0,14540.0,960,540
15,1.2.5_kinect,25.0,12087.0,960,540
16,1.2.6_kinect,25.0,16895.0,960,540
17,1.2.7_kinect,25.0,12344.0,960,540
18,1.2.8_kinect,25.0,13646.0,960,540
19,1.2.9_kinect,25.0,17084.0,960,540
20,1.3.10_kinect,25.0,14621.0,960,540
21,1.3.1_kinect,29.97002997002997,16314.0,960,540
22,1.3.2_kinect,25.0,16766.0,960,540
23,1.3.3_kinect,29.97002997002997,17220.0,960,540
24,1.3.4_kinect_trim - Copy.mp4,29.97002997002997,17430.0,854,480
25,1.3.4_kinect,29.97002997002997,17430.0,960,540
26,1.3.5_kinect,25.0,17811.0,960,540
27,1.3.6_kinect,25.0,18328.0,960,540
28,1.3.7_kinect,25.0,15113.0,960,540
29,1.3.8_kinect,25.0,13950.0,960,540
30,1.3.9_kinect,29.97002997002997,22018.0,960,540
31,2.2.10_kinect,25.0,14757.0,960,540
32,2.2.1_kinect,25.0,14381.0,960,540
33,2.2.2_kinect,25.0,13690.0,960,540
34,2.2.3_kinect,25.0,13687.0,960,540
35,2.2.4_kinect,25.0,13184.0,960,540
36,2.2.5_kinect,25.0,14019.0,960,540
37,2.2.6_kinect,25.0,13041.0,960,540
38,2.2.7_kinect,25.0,14293.0,960,540
39,2.2.8_kinect,25.0,14106.0,960,540
40,2.2.9_kinect,25.0,15859.0,960,540
41,2.3.10_kinect,29.97002997002997,15500.0,960,540
42,2.3.1_kinect,25.0,13818.0,960,540
43,2.3.2_kinect,25.0,13462.0,960,540
44,2.3.3_kinect,25.0,17129.0,960,540
45,2.3.4_kinect,25.0,14543.0,960,540
46,2.3.5_kinect,25.0,12237.0,960,540
47,2.3.6_kinect,25.0,15767.0,960,540
48,2.3.7_kinect,25.00054153054774,15594.0,960,540
49,2.3.8_kinect,25.0,14555.0,960,540
50,2.3.9_kinect,25.0,9986.0,960,540
51,2.4.10_kinect,25.0,11726.0,960,540
52,2.4.1_kinect,25.0,16101.0,960,540
53,2.4.2_kinect,25.0,14475.0,960,540
54,2.4.3_kinect,25.0,16145.0,960,540
55,2.4.4_kinect,25.0,13538.0,960,540
56,2.4.5_kinect,25.0,16154.0,960,540
57,2.4.6_kinect,25.0,17254.0,960,540
58,2.4.7_kinect,25.0,10519.0,960,540
59,2.4.8_kinect,25.0,12340.0,960,540
60,2.4.9_kinect,25.0,14168.0,960,540
61,3.1.10_kinect,25.0,14656.0,960,540
62,3.1.1_kinect,25.0,13758.0,960,540
63,3.1.2_kinect,25.0,17234.0,960,540
64,3.1.3_kinect,25.0,14649.0,960,540
65,3.1.4_kinect,25.0,17255.0,960,540
66,3.1.5_kinect,25.0,16409.0,960,540
67,3.1.6_kinect,25.0,15318.0,960,540
68,3.1.7_kinect,25.0,17001.0,960,540
69,3.1.8_kinect,25.0,14695.0,960,540
70,3.1.9_kinect,25.0,15956.0,960,540
71,3.3.10_kinect,25.0,13075.0,960,540
72,3.3.1_kinect,25.000555708813373,15771.0,960,540
73,3.3.2_kinect,25.00047676601212,17654.0,960,540
74,3.3.3_kinect,25.000351603499947,13964.0,960,540
75,3.3.4_kinect,25.000725627932027,12212.0,960,540
76,3.3.5_kinect,25.000415472539405,21278.0,960,540
77,3.3.6_kinect,25.00060082383326,14922.0,960,540
78,3.3.8_kinect,25.000086419347078,17518.0,960,540
79,3.3.9_kinect,25.00059090252944,15008.0,960,540
80,3.4.10_kinect,25.0,14910.0,960,540
81,3.4.1_kinect,25.0,8675.0,960,540
82,3.4.2_kinect,25.0,9277.0,960,540
83,3.4.3_kinect,25.0,12304.0,960,540
84,3.4.4_kinect,25.0,8691.0,960,540
85,3.4.5_kinect,25.0,10942.0,960,540
86,3.4.6_kinect,25.0,12545.0,960,540
87,3.4.7_kinect,25.0,11369.0,960,540
88,3.4.8_kinect,25.0,11031.0,960,540
89,3.4.9_kinect,25.0,14646.0,960,540
90,4.1.10_kinect,25.0,16635.0,960,540
91,4.1.1_kinect,25.0,32729.0,960,540
92,4.1.2_kinect,25.0,22918.0,960,540
93,4.1.3_kinect,25.0,14668.0,960,540
94,4.1.4_kinect,25.0,15719.0,960,540
95,4.1.5_kinect,25.0,12856.0,960,540
96,4.1.6_kinect,25.0,20305.0,960,540
97,4.1.7_kinect,25.0,16621.0,960,540
98,4.1.8_kinect,25.0,15923.0,960,540
99,4.1.9_kinect,25.0,18131.0,960,540
100,4.3.10_kinect,25.0,11408.0,960,540
101,4.3.1_kinect,25.0,16745.0,960,540
102,4.3.2_kinect,25.0,15463.0,960,540
103,4.3.3_kinect,25.0,12347.0,960,540
104,4.3.4_kinect,25.0,15055.0,960,540
105,4.3.5_kinect,25.0,14015.0,960,540
106,4.3.6_kinect,25.0,15439.0,960,540
107,4.3.7_kinect,25.0,12050.0,960,540
108,4.3.8_kinect,25.0,12700.0,960,540
109,4.3.9_kinect,25.0,13700.0,960,540
110,4.4.10_kinect,25.0,17437.0,960,540
111,4.4.1_kinect,25.0,8385.0,960,540
112,4.4.2_kinect,25.0,13473.0,960,540
113,4.4.3_kinect,25.0,18807.0,960,540
114,4.4.4_kinect,25.0,10310.0,960,540
115,4.4.5_kinect,25.0,14561.0,960,540
116,4.4.6_kinect,25.0,16269.0,960,540
117,4.4.7_kinect,25.0,16419.0,960,540
118,4.4.8_kinect,25.0,15824.0,960,540
119,4.4.9_kinect,25.0006151429466,14744.0,960,540
120,6.1.10_kinect,25.0,24444.0,960,540
121,6.1.1_kinect,25.0,20998.0,960,540
122,6.1.2_kinect,25.0,19059.0,960,540
123,6.1.3_kinect,25.0,19141.0,960,540
124,6.1.4_kinect,25.0,21295.0,960,540
125,6.1.5_kinect,25.0,10212.0,960,540
126,6.1.6_kinect,25.0,19373.0,960,540
127,6.1.7_kinect,25.0,16529.0,960,540
128,6.1.8_kinect,25.0,28905.0,960,540
129,6.1.9_kinect,25.0,16660.0,960,540
130,6.2.10_kinect,25.0,13539.0,960,540
131,6.2.1_kinect_trim - Copy.mp4,29.97002997002997,14412.0,854,480
132,6.2.1_kinect,29.97002997002997,14412.0,960,540
133,6.2.2_kinect,25.0,12727.0,960,540
134,6.2.3_kinect,25.0,11988.0,960,540
135,6.2.4_kinect,25.0,13662.0,960,540
136,6.2.5_kinect,29.97002997002997,12282.0,960,540
137,6.2.6_kinect,25.000858964099304,9993.0,960,540
138,6.2.7_kinect,29.97002997002997,15248.0,960,540
139,6.2.8_kinect,25.000811041773797,10455.0,960,540
140,6.2.9_kinect,25.0,12630.0,960,540
141,6.3.10_kinect,25.0,19553.0,960,540
142,6.3.1_kinect,25.0,11005.0,960,540
143,6.3.2_kinect,25.0,13663.0,960,540
144,6.3.3_kinect,25.0,18356.0,960,540
145,6.3.4_kinect,25.0,16239.0,960,540
146,6.3.5_kinect,25.0,12891.0,960,540
147,6.3.6_kinect,25.0,19355.0,960,540
148,6.3.7_kinect,25.0,18820.0,960,540
149,6.3.8_kinect,25.0,15485.0,960,540
150,6.3.9_kinect,25.0,16986.0,960,540
